GBR,United Kingdom,1994,57.87,9.3,1027.305,412.4,01.01.1994
BEL,Belgium,1995,10.14,9.7,221.4305,288,01.01.1995
BGR,Bulgaria,1995,8.41,10,11.03419,NA,01.01.1995
CZE,Czech Republic,1995,10.33,3.9,45.5417,6.14,01.01.1995
DNK,Denmark,1995,5.23,6.7,141.4407,NA,01.01.1995
DEU,Germany,1995,81.68,8.2,1982.061,1079.9,01.01.1995
EST,Estonia,1995,1.44,9.8,2.90229,0.236,01.01.1995
IRL,Ireland,1995,3.61,12.3,52.9336,41.3,01.01.1995
GRC,Greece,1995,10.56,9.2,104.662,100.8,01.01.1995
ESP,Spain,1995,39.72,20.7,468.879,295.6,01.01.1995
FRA,France,1995,59.42,10.2,1231.446,696.3,01.01.1995
HRV,Croatia,1995,4.62,NA,17.12958,NA,01.01.1995
ITA,Italy,1995,56.84,11.2,895.337,1070.6,01.01.1995
CYP,Cyprus,1995,0.65,NA,7.59606,3.59,01.01.1995
LVA,Latvia,1995,2.49,14.9,4.13689,0.56,01.01.1995
LTU,Lithuania,1995,3.63,6.8,5.1241,0.59,01.01.1995
LUX,Luxembourg,1995,0.41,2.9,16.50835,1.4,01.01.1995
HUN,Hungary,1995,10.33,9.7,35.3655,26.76,01.01.1995
MLT,Malta,1995,0.38,4.8,2.82901,0.968,01.01.1995
NLD,Netherlands,1995,15.46,8.3,341.5855,250.3,01.01.1995
AUT,Austria,1995,7.95,4.2,183.907,124.4,01.01.1995
POL,Poland,1995,38.59,13.2,108.716,50.5,01.01.1995
PRT,Portugal,1995,10.03,7.9,91.0246,53,01.01.1995
ROM,Romania,1995,22.68,9.7,28.765,1.49,01.01.1995
SVN,Slovenia,1995,1.99,6.8,16.27975,2.79,01.01.1995
SVK,Slovakia,1995,5.36,12.1,15.25937,3.3,01.01.1995
FIN,Finland,1995,5.11,15.4,102.6508,56.5,01.01.1995
SWE,Sweden,1995,8.83,8.8,201.8408,150.6,01.01.1995
GBR,United Kingdom,1995,58.02,8.5,1009.48,446.4,01.01.1995
BEL,Belgium,1996,10.16,9.5,221.6638,278,01.01.1996
BGR,Bulgaria,1996,8.36,9.5,7.98787,NA,01.01.1996
CZE,Czech Republic,1996,10.32,3.8,52.605,6.14,01.01.1996
DNK,Denmark,1996,5.26,6.3,147.8426,NA,01.01.1996
DEU,Germany,1996,81.91,8.9,1973.017,1115.7,01.01.1996
EST,Estonia,1996,1.42,10.2,3.73855,0.277,01.01.1996
IRL,Ireland,1996,3.64,11.7,59.76,44.4,01.01.1996
GRC,Greece,1996,10.61,9.6,114.9082,115,01.01.1996
ESP,Spain,1996,39.89,19.9,505.108,324.3,01.01.1996
FRA,France,1996,59.62,10.5,1271.857,751.2,01.01.1996
HRV,Croatia,1996,4.56,NA,18.65712,NA,01.01.1996
ITA,Italy,1996,56.86,11.2,1031.004,1227.8,01.01.1996
CYP,Cyprus,1996,0.66,NA,7.89,3.9,01.01.1996
LVA,Latvia,1996,2.46,15.9,4.69952,0.62,01.01.1996
LTU,Lithuania,1996,3.6,7.7,6.60388,0.93,01.01.1996
LUX,Luxembourg,1996,0.41,2.9,17.15641,1.37,01.01.1996
HUN,Hungary,1996,10.31,9.9,36.6638,24.54,01.01.1996
MLT,Malta,1996,0.38,5.2,2.99758,1.177,01.01.1996
NLD,Netherlands,1996,15.53,7.7,351.1592,246.3,01.01.1996
AUT,Austria,1996,7.96,4.7,186.5497,124.4,01.01.1996
POL,Poland,1996,38.62,12.1,126.0028,50.8,01.01.1996
PRT,Portugal,1996,10.06,8,96.6268,57.4,01.01.1996
ROM,Romania,1996,22.62,7,29.2273,2.33,01.01.1996
SVN,Slovenia,1996,1.99,6.9,16.92471,3.54,01.01.1996
SVK,Slovakia,1996,5.37,11.1,16.99027,5.05,01.01.1996
FIN,Finland,1996,5.12,14.6,104.1187,57.7,01.01.1996
SWE,Sweden,1996,8.84,9.6,226.9041,157.3,01.01.1996
GBR,United Kingdom,1996,58.17,7.9,1097.201,542.9,01.01.1996
BEL,Belgium,1997,10.18,9.2,224.8914,275.5,01.01.1997
BGR,Bulgaria,1997,8.31,11.9,9.90231,9.27,01.01.1997
CZE,Czech Republic,1997,10.3,4.7,54.3637,6.24,01.01.1997
DNK,Denmark,1997,5.28,5.2,153.1519,NA,01.01.1997
DEU,Germany,1997,82.03,9.6,1958.528,1142.5,01.01.1997
EST,Estonia,1997,1.4,9.6,4.47578,0.311,01.01.1997
IRL,Ireland,1997,3.67,9.9,73.0837,43.6,01.01.1997
GRC,Greece,1997,10.66,9.8,126.3538,124.6,01.01.1997
ESP,Spain,1997,40.06,18.4,519.607,331.6,01.01.1997
FRA,France,1997,59.83,10.7,1289.316,787.8,01.01.1997
HRV,Croatia,1997,4.53,NA,21.02652,NA,01.01.1997
ITA,Italy,1997,56.89,11.2,1093.807,1236.2,01.01.1997
CYP,Cyprus,1997,0.67,5.2,8.41417,4.48,01.01.1997
LVA,Latvia,1997,2.43,15.4,5.74917,0.62,01.01.1997
LTU,Lithuania,1997,3.58,6.5,8.92426,1.41,01.01.1997
LUX,Luxembourg,1997,0.42,2.7,17.41481,1.39,01.01.1997
HUN,Hungary,1997,10.29,9.1,41.6358,24.34,01.01.1997
MLT,Malta,1997,0.38,6.1,3.33149,1.569,01.01.1997
NLD,Netherlands,1997,15.61,6.5,363.7889,237.9,01.01.1997
AUT,Austria,1997,7.97,4.7,187.442,117.8,01.01.1997
POL,Poland,1997,38.65,10.9,140.4392,56.9,01.01.1997
PRT,Portugal,1997,10.11,7.5,103.3326,56,01.01.1997
ROM,Romania,1997,22.55,6.1,31.67,4.33,01.01.1997
SVN,Slovenia,1997,1.99,6.9,18.30836,3.92,01.01.1997
SVK,Slovakia,1997,5.38,11.5,19.2991,6.31,01.01.1997
FIN,Finland,1997,5.14,12.7,111.9637,57.5,01.01.1997
SWE,Sweden,1997,8.85,9.9,233.409,157,01.01.1997
GBR,United Kingdom,1997,58.32,6.8,1356.131,617.7,01.01.1997
BEL,Belgium,1998,10.2,9.3,232.869,277.2,01.01.1998
BGR,Bulgaria,1998,8.26,10.9,13.08008,9.13,01.01.1998
CZE,Czech Republic,1998,10.29,6.5,59.4359,8.48,01.01.1998
DNK,Denmark,1998,5.3,4.9,158.1465,NA,01.01.1998
DEU,Germany,1998,82.05,9.4,2004.598,1199.3,01.01.1998
EST,Estonia,1998,1.39,9.2,5.01668,0.304,01.01.1998
IRL,Ireland,1998,3.71,7.5,80.4873,41.4,01.01.1998
GRC,Greece,1998,10.72,11.1,129.0572,126.1,01.01.1998
ESP,Spain,1998,40.22,16.4,551.397,346.4,01.01.1998
FRA,France,1998,60.05,10.3,1350.164,829.4,01.01.1998
HRV,Croatia,1998,4.53,NA,22.70404,NA,01.01.1998
ITA,Italy,1998,56.91,11.3,1131.194,1258.2,01.01.1998
CYP,Cyprus,1998,0.68,5.1,9.15253,4.98,01.01.1998
LVA,Latvia,1998,2.41,14,6.41019,0.57,01.01.1998
LTU,Lithuania,1998,3.55,13.2,10.02643,1.59,01.01.1998
LUX,Luxembourg,1998,0.42,2.7,18.05847,1.4,01.01.1998
HUN,Hungary,1998,10.27,8.7,43.3679,24.79,01.01.1998
MLT,Malta,1998,0.39,6.2,3.55054,1.79,01.01.1998
NLD,Netherlands,1998,15.71,5.1,386.5175,244.6,01.01.1998
AUT,Austria,1998,7.98,4.7,194.4967,124.6,01.01.1998
POL,Poland,1998,38.66,10.2,154.7488,57,01.01.1998
PRT,Portugal,1998,10.16,6.1,110.7153,57.7,01.01.1998
ROM,Romania,1998,22.51,6.3,37.3143,4.85,01.01.1998
SVN,Slovenia,1998,1.98,7.4,19.76597,4.43,01.01.1998
SVK,Slovakia,1998,5.39,12.7,20.3153,6.29,01.01.1998
FIN,Finland,1998,5.15,11.4,119.6419,56.4,01.01.1998
SWE,Sweden,1998,8.85,8.2,237.893,149.4,01.01.1998
GBR,United Kingdom,1998,58.49,6.1,1449.229,578.7,01.01.1998
BEL,Belgium,1999,10.23,8.5,244.226,279.4,01.01.1999
BGR,Bulgaria,1999,8.21,12.3,12.68017,9.65,01.01.1999
CZE,Czech Republic,1999,10.28,8.7,60.6573,9.42,01.01.1999
DNK,Denmark,1999,5.32,5.2,166.9717,NA,01.01.1999
DEU,Germany,1999,82.1,8.6,2064.88,1238.6,01.01.1999
EST,Estonia,1999,1.39,11.3,5.3787,0.348,01.01.1999
IRL,Ireland,1999,3.75,5.7,92.7164,43.2,01.01.1999
GRC,Greece,1999,10.76,12,139.9434,136.5,01.01.1999
ESP,Spain,1999,40.39,13.6,594.316,362.2,01.01.1999
FRA,France,1999,60.35,10,1408.159,847.5,01.01.1999
HRV,Croatia,1999,4.51,NA,21.93881,NA,01.01.1999
ITA,Italy,1999,56.92,10.9,1171.901,1285.1,01.01.1999
CYP,Cyprus,1999,0.69,5.4,9.83964,5.42,01.01.1999
LVA,Latvia,1999,2.39,14.1,7.04586,0.9,01.01.1999
LTU,Lithuania,1999,3.52,14.6,10.29351,2.48,01.01.1999
LUX,Luxembourg,1999,0.43,2.4,20.87064,1.41,01.01.1999
HUN,Hungary,1999,10.24,6.9,46.0418,27.34,01.01.1999
MLT,Malta,1999,0.39,6.7,3.83509,2.442,01.01.1999
NLD,Netherlands,1999,15.81,4.2,414.838,242.9,01.01.1999
AUT,Austria,1999,7.99,4.2,203.4183,135.1,01.01.1999
POL,Poland,1999,38.47,13.4,159.2672,63.1,01.01.1999
PRT,Portugal,1999,10.22,5.5,119.6392,61.1,01.01.1999
ROM,Romania,1999,22.47,7.1,33.9423,6.53,01.01.1999
SVN,Slovenia,1999,1.98,7.3,21.2075,4.92,01.01.1999
SVK,Slovakia,1999,5.4,16.5,19.49154,9.55,01.01.1999
FIN,Finland,1999,5.17,10.2,126.923,55.9,01.01.1999
SWE,Sweden,1999,8.86,6.7,254.0844,160.7,01.01.1999
GBR,United Kingdom,1999,58.68,5.9,1550.251,660.7,01.01.1999
BEL,Belgium,2e3,10.25,6.9,258.222,280.9,01.01.2000
BGR,Bulgaria,2e3,8.17,16.4,14.3063,10.17,01.01.2000
CZE,Czech Republic,2e3,10.26,8.8,66.6479,11.53,01.01.2000
DNK,Denmark,2e3,5.34,4.3,178.0178,93.1,01.01.2000
DEU,Germany,2e3,82.21,7.9,2116.48,1245.8,01.01.2000
EST,Estonia,2e3,1.4,14.6,6.17077,0.316,01.01.2000
IRL,Ireland,2e3,3.81,4.3,108.3827,39.1,01.01.2000
GRC,Greece,2e3,10.81,11.2,142.9759,148.2,01.01.2000
ESP,Spain,2e3,40.57,11.9,646.25,374.6,01.01.2000
FRA,France,2e3,60.76,8.6,1485.303,870.4,01.01.2000
HRV,Croatia,2e3,4.4,15.6,23.58338,8.44,01.01.2000
ITA,Italy,2e3,56.94,10,1239.266,1302.5,01.01.2000
CYP,Cyprus,2e3,0.69,4.8,10.8045,5.93,01.01.2000
LVA,Latvia,2e3,2.37,14.3,8.60886,1.01,01.01.2000
LTU,Lithuania,2e3,3.5,16.4,12.49131,2.91,01.01.2000
LUX,Luxembourg,2e3,0.44,2.2,23.07942,1.5,01.01.2000
